Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Gary Goodner,Houston Rockets,Texas,1978,5,3,91
James Sparrow,Indiana Pacers,North Carolina A&T,1978,5,4,92
Derick Clairborne,Kansas City Kings,Massachusetts,1978,5,5,93
Greg Tynes,Boston Celtics,Seton Hall,1978,5,6,94
Dave Caligaris,Detroit Pistons,Northeastern,1978,5,7,95
Don Williams ,New Orleans Jazz,Notre Dame,1978,5,8,96
Ron Anthony,Chicago Bulls,Jacksonville,1978,5,9,97
Chris Potter,Atlanta Hawks,Holy Cross,1978,5,10,98
Ken Koenigs,Cleveland Cavaliers,Kansas,1978,5,11,99
Greg Green,New York Knicks,Southern University,1978,5,12,100
Thomas Wilson ,Golden State Warriors,Western Carolina,1978,5,13,101
Roger Dickens,Washington Bullets,Towson,1978,5,14,102
Russ Coleman,Milwaukee Bucks,Pacific,1978,5,15,103
Carlos Terry ,Los Angeles Lakers,Winston-Salem State,1978,5,16,104
Ralph Drollinger ,Seattle SuperSonics,California-Los Angeles,1978,5,17,105
Michael Edwards,Denver Nuggets,Texas-Pan American,1978,5,18,106
Andre Wakefield ,Phoenix Suns,Loyola-Chicago,1978,5,19,107
Eugene Parker,San Antonio Spurs,Purdue,1978,5,20,108
Mark Haymore,Philadelphia 76ers,Massachusetts,1978,5,21,109
Clay Johnson ,Portland Trail Blazers,Missouri,1978,5,22,110
Golie Augustus,New Jersey Nets,South Carolina,1978,6,1,111
Bob Miscevicious,San Diego Clippers,Providence,1978,6,2,112
Eddie Joe Chavez,Houston Rockets,Santa Clara,1978,6,3,113
Jim Krivacs,Kansas City Kings,Texas,1978,6,4,114
Sherman Dillard,Indiana Pacers,James Madison,1978,6,5,115
Dave Winey,Boston Celtics,Minnesota,1978,6,6,116
Audie Matthews,Detroit Pistons,Illinois,1978,6,7,117
John Douglas ,New Orleans Jazz,Kansas,1978,6,8,118
John Shoemaker,Chicago Bulls,Miami (OH),1978,6,9,119
Gerald Glover,Atlanta Hawks,Howard,1978,6,10,120
Ed Warren,New York Knicks,Briar Cliff,1978,6,11,121
Buzz Hartnett,Golden State Warriors,San Diego,1978,6,12,122
Ron Bell,Cleveland Cavaliers,Virginia Tech,1978,6,13,123
Dave Kyle,Milwaukee Bucks,Cleveland State,1978,6,14,124
Archie Aldridge,Washington Bullets,Miami (OH),1978,6,15,125
Kim Stewart,Los Angeles Lakers,Washington,1978,6,16,126
Robert Heard,Denver Nuggets,Columbus State,1978,6,17,127
Charles Thompson,Phoenix Suns,Houston,1978,6,18,128
Harry Morgan,San Antonio Spurs,Indiana State,1978,6,19,129
Osborne Lockhart,Philadelphia 76ers,Minnesota,1978,6,20,130
Tim Evans,Portland Trail Blazers,Puget Sound,1978,6,21,131
Doug Jemison,New Jersey Nets,San Francisco,1978,7,1,132
Stan Pietkiewicz ,San Diego Clippers,Auburn,1978,7,2,133
Stan Stewart,Houston Rockets,Loyola-Marymount,1978,7,3,134
Ollie Matson,Indiana Pacers,Pepperdine,1978,7,4,135
Charles McMilliam,Kansas City Kings,North Texas,1978,7,5,136
Steve Balkun,Boston Celtics,Fairfield,1978,7,6,137
Herb Entzminger,Detroit Pistons,Johnson C. Smith,1978,7,7,138
Willie Howard,New Orleans Jazz,New Mexico,1978,7,8,139
Jarvis Reynolds,Chicago Bulls,West Georgia,1978,7,9,140
Jim DeWeese,Atlanta Hawks,Gonzaga,1978,7,10,141
Rick Bernard,Golden State Warriors,St. Mary's (CA),1978,7,11,142
Tony Smith,Cleveland Cavaliers,Nevada-Las Vegas,1978,7,12,143
Gary Pember,New York Knicks,Nasson,1978,7,13,144
Ed Hopkins,Washington Bullets,Georgetown,1978,7,14,145
Kim Anderson ,Milwaukee Bucks,Missouri,1978,7,15,146
Larry Paige,Los Angeles Lakers,Colorado State,1978,7,16,147
Jack Gilloon,Denver Nuggets,South Carolina,1978,7,17,148
Steve Malovic ,Phoenix Suns,San Diego State,1978,7,18,149
Hector Olivencia,San Antonio Spurs,Sacred Heart,1978,7,19,150
Anthony Murray,Philadelphia 76ers,Alabama,1978,7,20,151
Walter Reason,Portland Trail Blazers,Pacific,1978,7,21,152
Bruce Campbell,New Jersey Nets,Providence,1978,8,1,153
Felton Young,San Diego Clippers,Jacksonville,1978,8,2,154
Ron Hammye,Kansas City Kings,Bowling Green,1978,8,3,155
Kim Fisher,Boston Celtics,Fairfield,1978,8,4,156
Earl Evans ,Detroit Pistons,Nevada-Las Vegas,1978,8,5,157
Carl Kilpatrick ,New Orleans Jazz,Louisiana-Monroe,1978,8,6,158
John Cox ,Chicago Bulls,San Francisco,1978,8,7,159
Ed Murphy,Atlanta Hawks,Merrimack,1978,8,8,160
Roland Martin,Cleveland Cavaliers,Missouri Southern State,1978,8,9,161
Greg Sanders,New York Knicks,St. Bonaventure,1978,8,10,162
Tony Searcy,Golden State Warriors,Appalachian State,1978,8,11,163
Tom Zaligaris,Milwaukee Bucks,North Carolina,1978,8,12,164
Nestor Cora,Washington Bullets,St. Francis Brooklyn,1978,8,13,165
Larry Vaculik,Denver Nuggets,Colorado,1978,8,14,166
George Fowler,Phoenix Suns,Pacific,1978,8,15,167
Henry Taylor,San Antonio Spurs,Texas-Pan American,1978,8,16,168
Alan Cunningham,Philadelphia 76ers,Colorado State,1978,8,17,169
Mark Wickman,Portland Trail Blazers,Linfield,1978,8,18,170
Frank Sowinski,New Jersey Nets,Princeton,1978,9,1,171
Bobby White,San Diego Clippers,Centenary (LA),1978,9,2,172
Les Anderson,Boston Celtics,George Washington,1978,9,3,173
Ulice Payne,Detroit Pistons,Marquette,1978,9,4,174
Chad Nelson,New Orleans Jazz,Drake,1978,9,5,175
Joe Ponsetto,Chicago Bulls,DePaul,1978,9,6,176
Maurice Robinson,Atlanta Hawks,West Virginia,1978,9,7,177
Danny Fields,New York Knicks,North Carolina-Wilmington,1978,9,8,178
Bobby Humbles,Golden State Warriors,Bradley,1978,9,9,179
Steve Bayless,Cleveland Cavaliers,Central State (OH),1978,9,10,180
Tim Claxton,Washington Bullets,Temple,1978,9,11,181
Gary Rosenberger,Milwaukee Bucks,Marquette,1978,9,12,182
Tom Schneeburger,Denver Nuggets,Air Force,1978,9,13,183
Nate Stokes,Phoenix Suns,Grand Canyon,1978,9,14,184
Rick Taylor,San Antonio Spurs,Arizona State,1978,9,15,185
Paul Cozens,Portland Trail Blazers,Holy Cross,1978,9,16,186
Michael Vicens,New Jersey Nets,Holy Cross,1978,10,1,187
Walter Harrigan,Boston Celtics,Brandeis,1978,10,2,188
Dave Grauzer,Detroit Pistons,Central Michigan,1978,10,3,189
Rickey Williams ,New Orleans Jazz,Long Beach State,1978,10,4,190
Mark Tucker,Chicago Bulls,Oklahoma,1978,10,5,191
Marshall Lester,Atlanta Hawks,Florida Southern,1978,10,6,192
Mike Muff,Golden State Warriors,Murray State,1978,10,7,193
Gary Winston,Cleveland Cavaliers,Army,1978,10,8,194
Ernest Simons,New York Knicks,Pace,1978,10,9,195
Tom Anderson,Milwaukee Bucks,Wisconsin-Green Bay,1978,10,10,196
Steve Connor,Washington Bullets,Boise State,1978,10,11,197
Phil Taylor,Denver Nuggets,Arizona,1978,10,12,198
Lewis Cohen,Phoenix Suns,Cal Poly,1978,10,13,199
Larry Brewster,San Antonio Spurs,Florida,1978,10,14,200
Dennis James,Philadelphia 76ers,Widener,1978,10,15,201
Tim Workington,Portland Trail Blazers,Biola,1978,10,16,202
Kent Benson ,Milwaukee Bucks,Indiana,1977,1,1,1
Otis Birdsong ,Kansas City Kings,Houston,1977,1,2,2
Marques Johnson ,Milwaukee Bucks,California-Los Angeles,1977,1,3,3
Greg Ballard ,Washington Bullets,Oregon,1977,1,4,4
Walter Davis ,Phoenix Suns,North Carolina,1977,1,5,5
Kenny Carr ,Los Angeles Lakers,North Carolina State,1977,1,6,6
Bernard King ,New Jersey Nets,Tennessee,1977,1,7,7
Jack Sikma ,Seattle SuperSonics,Illinois Wesleyan,1977,1,8,8
Tom LaGarde ,Denver Nuggets,North Carolina,1977,1,9,9
Ray Williams ,New York Knicks,Minnesota,1977,1,10,10
Ernie Grunfeld ,Milwaukee Bucks,Tennessee,1977,1,11,11
Cedric Maxwell ,Boston Celtics,North Carolina-Charlotte,1977,1,12,12
Tate Armstrong ,Chicago Bulls,Duke,1977,1,13,13
Tree Rollins ,Atlanta Hawks,Clemson,1977,1,14,14
Brad Davis ,Los Angeles Lakers,Maryland,1977,1,15,15
Rickey Green ,Golden State Warriors,Michigan,1977,1,16,16
Bo Ellis ,Washington Bullets,Marquette,1977,1,17,17
Wesley Cox ,Golden State Warriors,Louisville,1977,1,18,18
Rich Laurel ,Portland Trail Blazers,Hofstra,1977,1,19,19
Glenn Mosley ,Philadelphia 76ers,Seton Hall,1977,1,20,20
Anthony Roberts ,Denver Nuggets,Oral Roberts,1977,1,21,21
Norm Nixon ,Los Angeles Lakers,Duquesne,1977,1,22,22
Mike Glenn ,Chicago Bulls,Southern Illinois,1977,2,1,23
Larry Johnson ,Buffalo Braves,Kentucky,1977,2,2,24
Wilson Washington ,Philadelphia 76ers,Old Dominion,1977,2,3,25
Glen Gondrezick ,New York Knicks,Nevada-Las Vegas,1977,2,4,26
Glenn Williams,Milwaukee Bucks,St. John's (NY),1977,2,5,27
Kim Anderson ,Portland Trail Blazers,Missouri,1977,2,6,28
Alonzo Bradley ,Indiana Pacers,Texas Southern,1977,2,7,29
Steve Sheppard ,Chicago Bulls,Maryland,1977,2,8,30
Eddie Owens ,Kansas City Kings,Nevada-Las Vegas,1977,2,9,31
Toby Knight ,New York Knicks,Notre Dame,1977,2,10,32
Eddie Jordan ,Cleveland Cavaliers,Rutgers,1977,2,11,33
Larry Moffett ,Houston Rockets,Nevada-Las Vegas,1977,2,12,34
Mark Landsberger ,Chicago Bulls,Arizona State,1977,2,13,35
Ben Poquette ,Detroit Pistons,Central Michigan,1977,2,14,36
Jeff Wilkins ,San Antonio Spurs,Illinois State,1977,2,15,37
Ricky Love,Golden State Warriors,Alabama-Huntsville,1977,2,16,38
Phil Walker ,Washington Bullets,Millersville,1977,2,17,39
Robert Reid ,Houston Rockets,St. Mary's (TX),1977,2,18,40
T.R. Dunn ,Portland Trail Blazers,Alabama,1977,2,19,41
Bob Elliott ,Philadelphia 76ers,Arizona,1977,2,20,42
Herm Harris,Philadelphia 76ers,Arizona,1977,2,21,43
Essie Hollis ,New Orleans Jazz,St. Bonaventure,1977,2,22,44
Bill Paterno,Kansas City Kings,Notre Dame,1977,3,1,45
James Edwards ,Los Angeles Lakers,Washington,1977,3,2,46
Gary Yoder,Milwaukee Bucks,Cincinnati,1977,3,3,47
Sammy Smith ,Atlanta Hawks,Nevada-Las Vegas,1977,3,4,48
Eddie Johnson ,Atlanta Hawks,Auburn,1977,3,5,49
Tony Hanson,New Orleans Jazz,Connecticut,1977,3,6,50
Stan Mayhew,Indiana Pacers,Weber State,1977,3,7,51
Joey Hassett ,Seattle SuperSonics,Providence,1977,3,8,52
John Kuester ,Kansas City Kings,North Carolina,1977,3,9,53
Lloyd McMillian,New York Knicks,Long Beach State,1977,3,10,54
Steve Grote,Cleveland Cavaliers,Michigan,1977,3,11,55
Skip Brown,Boston Celtics,Wake Forest,1977,3,12,56
Steve Puidokas,Washington Bullets,Washington State,1977,3,13,57
John Irving,Detroit Pistons,Hofstra,1977,3,14,58
Dan Henderson,San Antonio Spurs,Arkansas State,1977,3,15,59
Marlon Redmond ,Golden State Warriors,San Francisco,1977,3,16,60
Jerry Schellenberg,Washington Bullets,Wake Forest,1977,3,17,61
Phil Bond ,Houston Rockets,Louisville,1977,3,18,62
Ricky Brown,Portland Trail Blazers,Alabama,1977,3,19,63
Arnold Dugger,Philadelphia 76ers,Oral Roberts,1977,3,20,64
Robert Smith ,Denver Nuggets,Nevada-Las Vegas,1977,3,21,65
Mike Bratz ,Phoenix Suns,Stanford,1977,3,22,66
Bob Elmore,New Jersey Nets,Wichita State,1977,4,1,67
Melvin Watkins,Buffalo Braves,North Carolina-Charlotte,1977,4,2,68
Lewis Brown ,Milwaukee Bucks,Nevada-Las Vegas,1977,4,3,69
Dave Bormann,Atlanta Hawks,Gardner-Webb,1977,4,4,70
Greg Griffin ,Phoenix Suns,Idaho State,1977,4,5,71
Dennis Boyd ,New Orleans Jazz,Detroit Mercy,1977,4,6,72
George Pendleton,Indiana Pacers,Georgia State,1977,4,7,73
Jim Cooper,Seattle SuperSonics,Alabama,1977,4,8,74
Larry Williams,Kansas City Kings,Texas Southern,1977,4,9,75
Steve Hayes ,New York Knicks,Idaho State,1977,4,10,76
Melvin Jones,Cleveland Cavaliers,West Texas A&M,1977,4,11,77
Jeff Cummings,Boston Celtics,Tulane,1977,4,12,78
Mike McConalthy,Chicago Bulls,Louisiana Tech,1977,4,13,79
Bruce King,Detroit Pistons,Iowa,1977,4,14,80
Matt Hicks,San Antonio Spurs,Northern Illinois,1977,4,15,81
Roy Smith,Golden State Warriors,Kentucky State,1977,4,16,82
David Reavis,Washington Bullets,Georgia,1977,4,17,83
Rocky Smith,Houston Rockets,Oregon State,1977,4,18,84
Greg White,Portland Trail Blazers,Southern California,1977,4,19,85
Jack Jones,Philadelphia 76ers,Utah,1977,4,20,86
Leartha Scott,Golden State Warriors,Wisconsin-Parkside,1977,4,21,87
Tony Robertson ,Los Angeles Lakers,West Virginia,1977,4,22,88
Gerald Cunningham,New Jersey Nets,Kentucky State,1977,5,1,89
Mike Hanley,Buffalo Braves,Niagara,1977,5,2,90
Ron Norwood,Milwaukee Bucks,DePaul,1977,5,3,91
Bill Gordon,Atlanta Hawks,Tennessee-Chattanooga,1977,5,4,92
Cecil Rellford,Phoenix Suns,St. John's (NY),1977,5,5,93
Jim Grady,New Orleans Jazz,Gonzaga,1977,5,6,94
Marvin Jackson,Indiana Pacers,Prairie View A&M,1977,5,7,95
Dale Haberman,Seattle SuperSonics,McKendree,1977,5,8,96
Bob Chapman,Kansas City Kings,Michigan State,1977,5,9,97
Bill Terry,New York Knicks,Monmouth,1977,5,10,98
Al Smith,Cleveland Cavaliers,Jackson State,1977,5,11,99
Bill Langloh,Boston Celtics,Virginia,1977,5,12,100
Nate Davis,Chicago Bulls,South Carolina,1977,5,13,101
Jim Kennedy,Detroit Pistons,Missouri,1977,5,14,102
Scott Sims ,San Antonio Spurs,Missouri,1977,5,15,103
Ray Epps ,Golden State Warriors,Norfolk State,1977,5,16,104
Bruce Parkinson,Washington Bullets,Purdue,1977,5,17,105
Ed Thompson,Houston Rockets,Idaho State,1977,5,18,106
Donn Wilber,Portland Trail Blazers,La Salle,1977,5,19,107
Teko Wynder,Philadelphia 76ers,Tulsa,1977,5,20,108
John Billups,Denver Nuggets,Mississippi,1977,5,21,109
John Robinson,Los Angeles Lakers,Michigan,1977,5,22,110
Mark Crow ,New Jersey Nets,Duke,1977,6,1,111
Curvan Lewis,Buffalo Braves,Virginia Union,1977,6,2,112
Chuck Goodyear,Milwaukee Bucks,Miami (OH),1977,6,3,113
Calvin Crews,Atlanta Hawks,Louisiana-Lafayette,1977,6,4,114
Billy McKinney ,Phoenix Suns,Northwestern,1977,6,5,115
Wayne Golden,New Orleans Jazz,Tennessee-Chattanooga,1977,6,6,116
Tom Scheffler ,Indiana Pacers,Purdue,1977,6,7,117
Bucky O'Brien,Seattle SuperSonics,Seattle,1977,6,8,118
Bob Cooper,Kansas City Kings,Providence,1977,6,9,119
Jerry Graycraft,New York Knicks,Milligan,1977,6,10,120
Ron Cox,Cleveland Cavaliers,Eastern Washington,1977,6,11,121
Roy Pace,Boston Celtics,Rutgers-Camden,1977,6,12,122
Jay Chessman,Chicago Bulls,Brigham Young,1977,6,13,123
Herb Nobles,Detroit Pistons,Kansas,1977,6,14,124
Bruce Buckley,San Antonio Spurs,North Carolina,1977,6,15,125
Jack Phelan,Golden State Warriors,Saint Francis (PA),1977,6,16,126
Ernie Wansley,Washington Bullets,Virginia Tech,1977,6,17,127
Myron Jordan,Portland Trail Blazers,Pacific,1977,6,18,128
George Gibson,Philadelphia 76ers,Winston-Salem State,1977,6,19,129
Jim Town,Denver Nuggets,Massachusetts,1977,6,20,130
Grover Woolard,Los Angeles Lakers,Murray State,1977,6,21,131
Scott Conant,New Jersey Nets,Newberry,1977,7,1,132
Mike Jackson,Buffalo Braves,Tennessee,1977,7,2,133
Ron Bostic,Milwaukee Bucks,Detroit Mercy,1977,7,3,134
James Holliman,Atlanta Hawks,Arizona State,1977,7,4,135
Alvin Scott ,Phoenix Suns,Oral Roberts,1977,7,5,136
Lusia Harris,New Orleans Jazz,Delta State,1977,7,6,137
Billy Reynolds,Seattle SuperSonics,Northwestern State,1977,7,7,138
Bruce Jenner,Kansas City Kings,Graceland (IA),1977,7,8,139
Tom Weadock,New York Knicks,St. John's (NY),1977,7,9,140
Bob Riddle,Cleveland Cavaliers,Eastern Michigan,1977,7,10,141
Dave Kyle,Boston Celtics,Cleveland State,1977,7,11,142
Mike Smith,Chicago Bulls,Evansville,1977,7,12,143
Robert Lewis,Detroit Pistons,Johnson C. Smith,1977,7,13,144
Richard Robinson,San Antonio Spurs,New Mexico State,1977,7,14,145
Jerry Thurston,Golden State Warriors,Mercer,1977,7,15,146
Calvin Brown,Washington Bullets,American,1977,7,16,147
Don Smith,Portland Trail Blazers,Oregon State,1977,7,17,148
Dennin Forest,Philadelphia 76ers,Nebraska-Omaha,1977,7,18,149
Willie High,Denver Nuggets,Alabama State,1977,7,19,150
Lars Hansen ,Los Angeles Lakers,Washington,1977,7,20,151
Ralph Drollinger ,New Jersey Nets,California-Los Angeles,1977,8,1,152
Emery Sammons,Buffalo Braves,Philadelphia University,1977,8,2,153
Larry Pikes,Milwaukee Bucks,Milwaukee,1977,8,3,154
Vern Thompson,Atlanta Hawks,Brigham Young,1977,8,4,155
Alvin Joseph,Phoenix Suns,California-Riverside,1977,8,5,156
Dave Speicher,New Orleans Jazz,Toledo,1977,8,6,157
Jeff Frey,Seattle SuperSonics,Evansville,1977,8,8,158
Ken Slappy,New York Knicks,St. Peter's,1977,8,10,159
Tom Cutter,Cleveland Cavaliers,Western Michigan,1977,8,11,160
Tom Harris,Boston Celtics,Bowling Green,1977,8,12,161
Rich Rhodes,Chicago Bulls,Eastern Illinois,1977,8,13,162
Tim Appleton,Detroit Pistons,Kenyon,1977,8,14,163
Jerome Gladney,San Antonio Spurs,Arizona,1977,8,15,164
Eric Marsh ,Golden State Warriors,Manhattan,1977,8,16,165
Pat McKinley,Washington Bullets,Towson,1977,8,17,166
Harold Rhodes,Portland Trail Blazers,Washington,1977,8,19,167
John Olive ,Philadelphia 76ers,Villanova,1977,8,20,168
Len Saunders,Denver Nuggets,Florida,1977,8,21,169
Art Allen,Los Angeles Lakers,Pepperdine,1977,8,22,170
John Lucas ,Houston Rockets,Maryland,1976,1,1,1
Scott May ,Chicago Bulls,Indiana,1976,1,2,2
Richard Washington ,Kansas City Kings,California-Los Angeles,1976,1,3,3
Leon Douglas ,Detroit Pistons,Alabama,1976,1,4,4
Wally Walker ,Portland Trail Blazers,Virginia,1976,1,5,5
Adrian Dantley ,Buffalo Braves,Notre Dame,1976,1,6,6
Quinn Buckner ,Milwaukee Bucks,Indiana,1976,1,7,7
Robert Parish ,Golden State Warriors,Centenary (LA),1976,1,8,8
Armond Hill ,Atlanta Hawks,Princeton,1976,1,9,9
Ron Lee ,Phoenix Suns,Oregon,1976,1,10,10
Bob Wilkerson ,Seattle SuperSonics,Indiana,1976,1,11,11
Terry Furlow ,Philadelphia 76ers,Michigan State,1976,1,12,12
Mitch Kupchak ,Washington Bullets,North Carolina,1976,1,13,13
Larry Wright ,Washington Bullets,Grambling,1976,1,14,14
Chuckie Williams ,Cleveland Cavaliers,Kansas State,1976,1,15,15
Norm Cook ,Boston Celtics,Kansas,1976,1,16,16
Sonny Parker ,Golden State Warriors,Texas A&M,1976,1,17,17
Willie Smith ,Chicago Bulls,Missouri,1976,2,1,18
Bayard Forrest ,Seattle SuperSonics,Grand Canyon,1976,2,2,19
Major Jones ,Portland Trail Blazers,Albany State (GA),1976,2,3,20
Earl Tatum ,Los Angeles Lakers,Marquette,1976,2,4,21
Johnny Davis ,Portland Trail Blazers,Dayton,1976,2,5,22
Alex English ,Milwaukee Bucks,South Carolina,1976,2,6,23
Scott Lloyd ,Milwaukee Bucks,Arizona State,1976,2,7,24
Lonnie Shelton ,New York Knicks,Oregon State,1976,2,8,25
Jacky Dorsey ,New Orleans Jazz,Georgia,1976,2,9,26
Phil Hicks ,Houston Rockets,Tulane,1976,2,10,27
Bob Carrington ,Atlanta Hawks,Boston College,1976,2,11,28
Dennis Johnson ,Seattle SuperSonics,Pepperdine,1976,2,12,29
Al Fleming ,Phoenix Suns,Arizona,1976,2,13,30
Joe Pace ,Washington Bullets,Coppin State,1976,2,14,31
Mo Howard ,Cleveland Cavaliers,Maryland,1976,2,15,32
Butch Feher ,Phoenix Suns,Vanderbilt,1976,2,16,33
Marshall Rogers ,Golden State Warriors,Texas-Pan American,1976,2,17,34
Dallas Smith,Chicago Bulls,West Texas A&M,1976,3,1,35
Mike Dabney,Los Angeles Lakers,Rutgers,1976,3,2,36
Lars Hansen ,Chicago Bulls,Washington,1976,3,3,37
Phil Sellers ,Detroit Pistons,Rutgers,1976,3,4,38
Jeff Tyson,Portland Trail Blazers,Western Michigan,1976,3,5,39
Lloyd Walton ,Milwaukee Bucks,Marquette,1976,3,6,40
John McGill,New York Knicks,Alcorn State,1976,3,7,41
Steve Copp,New Orleans Jazz,San Diego State,1976,3,8,42
Tom Abernethy ,Los Angeles Lakers,Indiana,1976,3,9,43
Barnes Hauptfuhrer,Houston Rockets,Princeton,1976,3,10,44
Ira Terrell ,Phoenix Suns,Southern Methodist,1976,3,11,45
Larry Cooke,Atlanta Hawks,Virginia Tech,1976,3,12,46
Ron Norwood,Philadelphia 76ers,DePaul,1976,3,13,47
Gary Brewster,Buffalo Braves,Texas-El Paso,1976,3,14,48
Bill Cook,Washington Bullets,Memphis,1976,3,15,49
Gary Cole,Cleveland Cavaliers,Wisconsin-Parkside,1976,3,16,50
Jerry Fort,Boston Celtics,Nebraska,1976,3,17,51
Keith Starr ,Chicago Bulls,Pittsburgh,1976,4,1,52
Tom Barker ,Atlanta Hawks,Hawaii,1976,4,2,53
Clarence Ramsey,Kansas City Kings,Washington,1976,4,3,54
Scott Thompson,Detroit Pistons,Iowa,1976,4,4,55
David Everett,Portland Trail Blazers,Grand Canyon,1976,4,5,56
Rick Bullock,New York Knicks,Texas Tech,1976,4,6,57
John Service,New Orleans Jazz,California-Santa Barbara,1976,4,7,58
Dan Frost,Milwaukee Bucks,Iowa,1976,4,8,59
Wayman Britt ,Los Angeles Lakers,Michigan,1976,4,9,60
Hercle Ivy,Houston Rockets,Iowa State,1976,4,10,61
Paul Miller,Phoenix Suns,Oregon State,1976,4,11,62
Willie Parr,Seattle SuperSonics,LeMoyne-Owen,1976,4,12,63
Freeman Blade,Philadelphia 76ers,Montana State,1976,4,13,64
Marion Hillard,Washington Bullets,Memphis,1976,4,14,65
John Engles,Cleveland Cavaliers,Pennsylvania,1976,4,15,66
Lewis Linder,Boston Celtics,Kentucky State,1976,4,16,67
Jeff Fosnes,Golden State Warriors,Vanderbilt,1976,4,17,68
Nate Williams,Chicago Bulls,Illinois,1976,5,1,69
Ron Davis ,Atlanta Hawks,Washington State,1976,5,2,70
Willie Hodge,Kansas City Kings,Duke,1976,5,3,71
Jim Hearns,Detroit Pistons,Marymount (VA),1976,5,4,72
Gary Reddings,Portland Trail Blazers,Auburn,1976,5,5,73
Paul Griffin ,New Orleans Jazz,Western Michigan,1976,5,6,74
Tom Lockhart,Milwaukee Bucks,Manhattan,1976,5,7,75
Beaver Smith,New York Knicks,St. John's (NY),1976,5,8,76
James Rappis,Milwaukee Bucks,Arizona,1976,5,9,77
Dave Marrs,Houston Rockets,Houston,1976,5,10,78
Ralph Walker,Phoenix Suns,St. Mary's (CA),1976,5,11,79
Robert Gray,Seattle SuperSonics,Wichita State,1976,5,12,80
Jeff Browne,Philadelphia 76ers,Missouri Western State,1976,5,13,81
Connie White,Atlanta Hawks,California,1976,5,14,82
L.C. Mason,Washington Bullets,Alabama State,1976,5,15,83
Ed Lawrence ,Cleveland Cavaliers,McNeese State,1976,5,16,84
Louis McKinney,Boston Celtics,Saint Louis,1976,5,17,85
Carl Bird,Golden State Warriors,California,1976,5,18,86
Tom Paulin,Chicago Bulls,Winston-Salem State,1976,6,1,87
Pete Padgett,Atlanta Hawks,Nevada-Reno,1976,6,2,88
Andre McCarter ,Kansas City Kings,California-Los Angeles,1976,6,3,89
Russell Davis,Detroit Pistons,Virginia Tech,1976,6,4,90
Duane Barnett,Golden State Warriors,Stanford,1976,6,5,91
Phil Spence,Milwaukee Bucks,North Carolina State,1976,6,6,92
Joe Jones,New York Knicks,Grambling,1976,6,7,93
Barnard Tomlin,New Orleans Jazz,Hofstra,1976,6,8,94
Ed Schweitzer,Los Angeles Lakers,Stanford,1976,6,9,95
Robert Paige,Houston Rockets,Houston Baptist,1976,6,10,96
Carl Brown,Phoenix Suns,Eastern Kentucky,1976,6,11,97
Darrell Peterson,Seattle SuperSonics,Wake Forest,1976,6,12,98
Mike Dunleavy ,Philadelphia 76ers,South Carolina,1976,6,13,99
Danny Odums,Buffalo Braves,Fairfield,1976,6,14,100
Pat Tallent,Washington Bullets,George Washington,1976,6,15,101
Harry Davis,Cleveland Cavaliers,Morris Brown,1976,6,16,102
Art Collins ,Boston Celtics,St. Thomas (FL),1976,6,17,103
Gene Cunningham,Golden State Warriors,Norfolk State,1976,6,18,104
Barry McLeod,Chicago Bulls,Centenary (LA),1976,7,1,105
Carl Gerlach,Atlanta Hawks,Kansas State,1976,7,2,106
Craig Prosser,Kansas City Kings,Canisius,1976,7,3,107
Curt Peterson,Detroit Pistons,Puget Sound,1976,7,4,108
Al DeWitt,Portland Trail Blazers,Weber State,1976,7,5,109
Boyd Batts,New York Knicks,Nevada-Las Vegas,1976,7,6,110
Andy Walker ,New Orleans Jazz,Niagara,1976,7,7,111
Ron Barrow,Milwaukee Bucks,Southern University,1976,7,8,112
Tommie Lipsey,Los Angeles Lakers,Cal State-Los Angeles,1976,7,9,113
Barry Davis,Houston Rockets,Texas A&M,1976,7,10,114
Brad Warble,Phoenix Suns,Eastern Illinois,1976,7,11,115
Mark Klein,Seattle SuperSonics,Malone,1976,7,12,116
Phil Walker ,Philadelphia 76ers,Millersville,1976,7,13,117
Frank Jones,Buffalo Braves,Tennessee Tech,1976,7,14,118
Ralph Vallott,Washington Bullets,Loyola-Chicago,1976,7,15,119
Johnny Britt,Cleveland Cavaliers,Western Kentucky,1976,7,16,120
Ralph Drollinger ,Boston Celtics,California-Los Angeles,1976,7,17,121
Jesse Campbell,Golden State Warriors,Mercyhurst,1976,7,18,122
Dale Koehler,Cleveland Cavaliers,Wisconsin,1976,8,1,123
Doug Terry,Atlanta Hawks,Utah,1976,8,2,124
Mike Davis,Kansas City Kings,Bradley,1976,8,3,125
Randy Henry,Detroit Pistons,Illinois State,1976,8,4,126
Brant Gibbler,Portland Trail Blazers,Puget Sound,1976,8,5,127
Richard Bryant,New Orleans Jazz,Texas State,1976,8,6,128
Bob Warner,Milwaukee Bucks,Maine,1976,8,7,129
Rick McCutcheon,New York Knicks,Arizona State,1976,8,8,130
Ed Gregg,Los Angeles Lakers,Utah State,1976,8,9,131
Dan Kruger,Houston Rockets,Texas,1976,8,10,132
Tom DeBerry,Phoenix Suns,Northern Arizona,1976,8,11,133
Norton Barnhill ,Seattle SuperSonics,Washington State,1976,8,12,134
Lee Dixon,Philadelphia 76ers,Hardin-Simmons,1976,8,13,135
Mark McAndrew,Buffalo Braves,Providence,1976,8,14,136
